t,B1,Bn,Bm
0,0,0,0
0.050251256,1.39E-06,1.46E-05,2.14E-04
0.100502513,5.56E-06,5.86E-05,9.77E-04
0.150753769,1.25E-05,1.34E-04,2.72E-03
0.201005025,2.24E-05,2.43E-04,6.45E-03
0.251256281,3.50E-05,3.88E-04,1.44E-02
0.301507538,5.08E-05,5.76E-04,3.12E-02
0.351758794,6.94E-05,8.11E-04,6.70E-02
0.40201005,9.11E-05,1.10E-03,1.42E-01
0.452261307,0.00011618,1.46E-03,2.96E-01
0.502512563,0.000144529,1.89E-03,5.89E-01
0.552763819,0.000176357,2.42E-03,1.09E+00
0.603015075,0.000211818,3.06E-03,1.79E+00
0.653266332,0.000251086,3.83E-03,2.60E+00
0.703517588,0.000294349,4.76E-03,3.33E+00
0.753768844,0.000341819,5.88E-03,3.92E+00
0.804020101,0.000393726,7.23E-03,4.34E+00
0.854271357,0.000450321,8.85E-03,4.64E+00
0.904522613,0.000511879,1.08E-02,4.87E+00
0.954773869,0.000578698,1.32E-02,5.05E+00
1.005025126,0.000651102,1.60E-02,5.21E+00
1.055276382,0.000729442,1.94E-02,5.37E+00
1.105527638,0.000814097,2.36E-02,5.55E+00
1.155778894,0.000905476,2.85E-02,5.74E+00
1.206030151,0.001004021,3.45E-02,5.95E+00
1.256281407,0.001110207,4.17E-02,6.18E+00
1.306532663,0.001224548,5.03E-02,6.41E+00
1.35678392,0.001347594,6.06E-02,6.63E+00
1.407035176,0.001479938,7.30E-02,6.84E+00
1.457286432,0.001622216,8.77E-02,7.02E+00
1.507537688,0.001775114,1.05E-01,7.19E+00
1.557788945,0.001939365,1.26E-01,7.33E+00
1.608040201,0.002115756,1.50E-01,7.45E+00
1.658291457,0.002305132,1.79E-01,7.55E+00
1.708542714,0.002508398,2.12E-01,7.63E+00
1.75879397,0.002726526,2.50E-01,7.70E+00
1.809045226,0.002960554,2.94E-01,7.76E+00
1.859296482,0.003211595,3.44E-01,7.80E+00
1.909547739,0.003480843,4.00E-01,7.84E+00
1.959798995,0.003769571,4.62E-01,7.87E+00
2.010050251,0.004079145,5.30E-01,7.89E+00
2.060301508,0.004411025,6.03E-01,7.91E+00
2.110552764,0.004766772,6.81E-01,7.93E+00
2.16080402,0.005148055,7.63E-01,7.94E+00
2.211055276,0.005556655,8.47E-01,7.95E+00
2.261306533,0.005994478,9.33E-01,7.96E+00
2.311557789,0.006463557,1.02E+00,7.97E+00
2.361809045,0.006966063,1.11E+00,7.98E+00
2.412060302,0.007504312,1.19E+00,7.98E+00
2.462311558,0.008080774,1.27E+00,7.98E+00
2.512562814,0.008698083,1.35E+00,7.99E+00
2.56281407,0.009359045,1.43E+00,7.99E+00
2.613065327,0.010066647,1.50E+00,7.99E+00
2.663316583,0.010824073,1.57E+00,7.99E+00
2.713567839,0.011634705,1.63E+00,7.99E+00
2.763819095,0.012502143,1.70E+00,8.00E+00
2.814070352,0.013430209,1.76E+00,8.00E+00
2.864321608,0.014422964,1.81E+00,8.00E+00
2.914572864,0.015484715,1.87E+00,8.00E+00
2.964824121,0.016620028,1.92E+00,8.00E+00
3.015075377,0.01783374,1.97E+00,8.00E+00
3.065326633,0.01913097,2.02E+00,8.00E+00
3.115577889,0.020517129,2.06E+00,8.00E+00
3.165829146,0.021997933,2.11E+00,8.00E+00
3.216080402,0.023579409,2.16E+00,8.00E+00
3.266331658,0.025267911,2.20E+00,8.00E+00
3.316582915,0.02707012,2.24E+00,8.00E+00
3.366834171,0.028993058,2.29E+00,8.00E+00
3.417085427,0.031044092,2.33E+00,8.00E+00
3.467336683,0.033230935,2.37E+00,8.00E+00
3.51758794,0.035561651,2.41E+00,8.00E+00
3.567839196,0.038044655,2.45E+00,8.00E+00
3.618090452,0.040688706,2.50E+00,8.00E+00
3.668341709,0.043502905,2.54E+00,8.00E+00
3.718592965,0.046496679,2.58E+00,8.00E+00
3.768844221,0.049679773,2.61E+00,8.00E+00
3.819095477,0.053062224,2.65E+00,8.00E+00
3.869346734,0.056654344,2.69E+00,8.00E+00
3.91959799,0.060466683,2.73E+00,8.00E+00
3.969849246,0.064509996,2.76E+00,8.00E+00
4.020100503,0.068795203,2.79E+00,8.00E+00
4.070351759,0.073333332,2.83E+00,8.00E+00
4.120603015,0.07813547,2.86E+00,8.00E+00
4.170854271,0.083212691,2.89E+00,8.00E+00
4.221105528,0.088575987,2.92E+00,8.00E+00
