t,B1,Bs,Bn,Bj,Bm
0,0,0,0,0,0
0.050251256,1.39E-06,3.71E-06,1.08E-05,0.0000369,0.0001775
0.100502513,5.56E-06,1.48E-05,4.38E-05,0.0001524,0.000824787
0.150753769,1.25E-05,3.37E-05,0.0001002,0.000362111,0.002356277
0.201005025,2.24E-05,6.04E-05,0.0001822,0.000693727,0.005752255
0.251256281,3.50E-05,9.54E-05,0.00029292,0.001191419,0.0131754
0.301507538,5.08E-05,0.000138903,0.00043684,0.001921305,0.029302244
0.351758794,6.94E-05,0.000191829,0.000619522,0.002980181,0.06405519
0.40201005,9.11E-05,0.000254712,0.000848101,0.004508118,0.13774008
0.452261307,0.00011618,0.000328423,0.001131494,0.006706489,0.288808167
0.502512563,0.000144529,0.000413945,0.001480747,0.00986348,0.57863689
0.552763819,0.000176357,0.00051242,0.001909454,0.014389767,1.072222279
0.603015075,0.000211818,0.000625163,0.002434275,0.020867632,1.772459888
0.653266332,0.000251086,0.000753676,0.003075566,0.030117164,2.565743168
0.703517588,0.000294349,0.000899673,0.00385814,0.043282544,3.29058737
0.753768844,0.000341819,0.001065097,0.004812184,0.061938764,3.854562478
0.804020101,0.000393726,0.00125215,0.005974369,0.088212032,4.252216218
0.854271357,0.000450321,0.001463317,0.007389169,0.124892514,4.518197495
0.904522613,0.000511879,0.001701401,0.00911043,0.175492212,4.691522811
0.954773869,0.000578698,0.00196956,0.011203229,0.244163534,4.803077275
1.005025126,0.000651102,0.002271343,0.013746056,0.335357433,4.874461681
1.055276382,0.000729442,0.002610738,0.01683334,0.45310041,4.920019439
1.105527638,0.000814097,0.002992222,0.020578353,0.599870552,4.949058975
1.155778894,0.000905476,0.003420817,0.025116489,0.77529865,4.96755904
1.206030151,0.001004021,0.00390215,0.030608884,0.975229661,4.97934175
1.256281407,0.001110207,0.004442526,0.037246293,1.191779761,4.986845288
1.306532663,0.001224548,0.005048998,0.045253087,1.414648538,4.991623479
1.35678392,0.001347594,0.00572946,0.054891076,1.633236296,4.994666117
1.407035176,0.001479938,0.006492729,0.066462792,1.838649711,4.996603574
1.457286432,0.001622216,0.007348657,0.080313602,2.024856115,4.99783728
1.507537688,0.001775114,0.008308237,0.096831888,2.188832335,4.998622859
1.557788945,0.001939365,0.009383725,0.116446219,2.330026022,4.999123088
1.608040201,0.002115756,0.010588774,0.139618293,2.44956411,4.999441615
1.658291457,0.002305132,0.011938576,0.166830283,2.549515391,4.999644441
1.708542714,0.002508398,0.013450017,0.198565321,2.63233842,4.999773593
1.75879397,0.002726526,0.015141838,0.235280281,2.700526377,4.999855833
1.809045226,0.002960554,0.017034815,0.277370911,2.756408421,4.9999082
1.859296482,0.003211595,0.019151933,0.325130749,2.802057445,4.999941545
1.909547739,0.003480843,0.021518582,0.37870712,2.839262632,4.999962778
1.959798995,0.003769571,0.024162749,0.438059424,2.869537628,4.999976298
2.010050251,0.004079145,0.027115209,0.502926475,2.894145922,4.999984908
2.060301508,0.004411025,0.030409717,0.572809954,2.914132654,4.99999039
2.110552764,0.004766772,0.034083187,0.646979708,2.930356995,4.999993881
2.16080402,0.005148055,0.038175851,0.724503398,2.94352223,4.999996103
2.211055276,0.005556655,0.042731396,0.804298591,2.954202351,4.999997519
2.261306533,0.005994478,0.047797051,0.885200872,2.962864876,4.99999842
2.311557789,0.006463557,0.053423632,0.966038429,2.969890058,4.999998994
2.361809045,0.006966063,0.059665508,1.045702758,2.975586875,4.999999359
